protein,best model,model score
V1113943,model_3,84.61960560769622
V1008911,model_3,94.39286417715886
V1576593,model_3,69.19332695225867
V1295050,model_1,92.00275648856355
V1034694,model_3,84.26659558194564
V1334697,model_5,94.58962459327223
V1576389,model_5,68.42997651364239
V1553630,model_4,75.19522074959475
V1385451,model_5,65.45451033144775
V1263209,model_4,39.02860872361013
V1239558,model_5,49.608070482733844
V1836824,model_4,87.37642851683177
V1582962,model_1,68.14373980610526
V1238884,model_1,71.64300502069808
V1150336,model_5,76.77272146868977
V1554448,missing,missing
V1222088,model_1,96.8194840231734
V1323008,model_1,86.92717415778104
V1357028,model_2,91.43897742080111
V1076034,model_1,81.37643818819227
V1580728,model_3,90.36282582047137
V1035136,model_1,80.20069830759269
V1163593,model_5,73.60223609099512
V1035475,model_4,68.94766220226211
V1506282,model_4,84.90909370989121
V1000494,model_2,73.41996383341403
V1086964,model_2,90.37623733452352
V1037449,model_5,94.24879587959379
V1381649,model_5,80.96704173772821
V1436037,model_2,79.99045780363545
V1036925,model_2,81.17278696455706
V1034697,model_1,71.7352613443057
V1135971,model_1,73.30342392920593
V1256194,model_4,88.41088521676662
V1436144,model_4,61.21758227785975
V1006808,model_1,42.667759168747956
V1220539,model_1,54.579828314667026
V1036802,model_3,87.53578115573717
V1462011,model_5,70.98179945699171
V1547383,model_5,88.1811477864529
V1034724,model_1,91.72755792635259
V1195929,model_3,89.67029232218745
V1886719,missing,missing
V1607541,model_4,92.34732902597094
V1295301,model_3,77.54546495939694
V1135974,model_1,92.07363119151455
V1053571,model_2,91.12808837285542
V1236015,model_1,72.39486187496651
V1763958,model_3,92.26574134996615
V1143439,model_3,76.69631928340206
V1421380,model_3,81.18326453694682
V1469294,model_5,87.51231261353061
V1423330,model_1,69.32575737381417
V1888223,missing,missing
V1334729,model_3,93.25083990993689
V1618815,model_5,67.89900877763868
V1150417,model_1,72.88511341792882
V1263210,model_3,64.3379003908032
V1413458,model_1,64.39501391694563
V1035176,model_4,86.04727078462403
V1135973,model_3,90.45336173445607
V1425450,model_4,71.19891584298831
V1852123,model_1,80.5857818720013
V1006807,model_3,89.79169823420241
V1046751,model_3,80.41712456120165
V1112913,model_1,83.67475644920992
V1592979,missing,missing
V1450470,model_1,80.94839456717852
V1105217,model_4,88.11316718544899
V1143319,model_1,91.11721734185475
V1423344,model_5,75.7060937839365
V1000584,model_4,88.79942777813994
V1553752,missing,missing
V1113942,model_1,71.96186777783005
V1056507,model_2,81.1006700610424
V1019532,model_3,92.32498797517091
V1149143,model_1,76.67683010491339
V1464061,model_5,71.04075476592453
V1289751,model_1,78.1270050300709
V1852046,model_1,74.20460252875097
V1037173,model_4,77.10405792714181
V1143298,model_3,77.23281746599125
V1469321,model_1,51.29822434736332
V1074405,model_5,78.92150005881449
V1355451,model_4,39.11238964372248
V1238970,model_4,62.59492440270325
V1176274,model_3,87.11537459126852
V1612382,model_3,93.53530302508236
V1442272,model_5,75.46404461669749
V1498822,model_1,71.87621670537786
V1886386,missing,missing
V1299142,model_3,86.79274299308884
V1064532,model_4,88.7918353316691
V1404919,model_4,85.00735807649929
V1341617,model_5,76.73273966429558
V1000083,model_3,84.08740134499031
V1167559,model_3,92.33221449813303
V1448503,model_5,80.075689447182
V1190276,model_1,93.74199620946263
V1504651,model_4,77.1475036306956
V1087820,model_1,79.26465845242741
V1222352,model_3,61.586842667810764
V1483513,model_4,85.61439713501287
V1222331,model_4,64.45661604557864
V1119703,model_3,82.88635027195548
V1299323,model_5,88.0063423533504
V1414213,model_3,82.03231972307907
V1481381,model_5,81.3611320786842
V1211147,model_4,82.30430002811002
V1117694,model_3,46.30906228525845
V1547320,missing,missing
V1501526,model_3,94.15370998148629
V1464272,missing,missing
V1211146,model_1,68.44529440281522
V1170704,model_4,63.43550656971214
V1034717,model_5,90.69717986253778
V1420590,model_5,70.88744197053694
V1110593,model_5,93.14050893976314
V1607539,model_2,92.74444421075012
V1000149,model_1,85.47820121227583
V1154020,model_2,65.91683574739177
V1263203,model_3,93.55240900268107
V1553960,model_4,66.48518220240676
V1836796,model_3,90.80200439029663
V1346163,model_4,83.06567121611555
V1149253,model_1,73.03967863692014
V1458254,model_1,78.44588016536119
V1053570,model_3,95.28310462448611
V1334731,model_3,83.13827873709435
V1612129,model_4,78.44165908572529
V1162883,model_1,49.57450790650182
V1576896,missing,missing
V1167715,model_3,95.27431887873303
V1006095,model_3,90.3100989735309
V1582967,model_3,70.97509541111116
V1836810,model_3,92.9769737166553
V1593049,model_4,53.470856170129025
V1299324,model_3,87.52031468186678
V1458255,model_5,75.39245809755808
V1170740,model_3,69.29894589107113
V1034594,model_1,76.11696098196266
V1235890,model_1,69.9551474865984
V1033845,missing,missing
V1582963,model_3,87.21589536766238
V1596764,model_3,87.35458195558374
V1851980,missing,missing
V1006019,model_1,89.3996012616397
V1383816,model_3,90.23841675967375
V1000200,model_1,73.41123804896904
V1482799,model_5,92.6950460671237
V1035174,model_3,90.55722658323789
V1170841,model_2,95.17166316678806
V1582965,model_2,78.58393009915446
V1046756,model_2,64.91017184824517
V1118224,model_1,81.83206824560546
V1000463,model_4,86.99374780877521
V1400920,model_5,96.97051855034306
V1458359,model_1,77.81521211747734
V1001836,model_4,91.6220267764603
V1150331,model_3,84.54527144532724
V1164659,missing,missing
V1150735,model_3,73.35258266692772
V1000617,model_1,87.16938613933057
V1440265,model_5,63.592150218733856
V1067053,missing,missing
V1295888,model_4,85.75891834961632
V1420608,missing,missing
V1000130,model_2,92.80665778437405
V1425659,model_3,89.21519224081798
V1192884,model_2,84.27572183951352
V1135976,model_3,94.16409374844729
V1038319,model_2,79.4565211308913
V1237405,model_1,80.85640543478809
V1295404,model_5,72.77931798081516
V1162626,model_1,82.37541890575335
V1483459,missing,missing
V1157814,model_3,84.43068460739256
V1110173,model_3,84.99863890807977
V1191670,model_1,81.876609338366
V1580726,model_3,87.98615709234174
V1035515,model_1,65.13938793632761
V1046752,model_1,68.52461669650741
V1880119,model_5,87.93387713516397
V1852034,model_5,92.73533726938203
V1046741,model_3,84.46668408290944
V1414375,model_3,89.42956589226371
V1198522,model_1,73.51831925098021
V1033710,model_1,83.03418307332689
V1299134,model_3,75.33968416314976
V1204224,model_1,85.92795521589687
V1006805,model_3,76.25618611152002
V1547377,model_3,91.82320633280384
V1852128,model_5,78.8802773466183
V1200649,model_4,94.14725603579066
V1292893,model_1,65.17626759602145
V1046762,model_3,91.04770063381359
V1037430,model_1,88.30423180777399
V1450902,model_4,70.76660467333875
V1617872,model_1,91.95110888748778
V1582954,model_3,89.3608596486649
V1553816,missing,missing
V1852037,model_1,90.94662785008708
V1000055,model_3,87.79240548892031
V1469390,model_2,77.62600222184768
V1582968,model_4,81.58797309904101
V1334856,model_1,40.09076215596065
V1541151,missing,missing
V1158784,model_1,88.03843985852909
V1553529,model_1,68.22433881314232
V1150302,model_5,91.00602454857669
V1394478,model_4,91.57991611961837
V1152990,model_4,73.01737461004198
V1553932,missing,missing
V1449463,model_4,70.03738192673916
V1393914,model_1,85.7832470564611
V1238896,model_4,75.54186085744067
V1318421,model_3,86.50723495508548
V1267384,model_1,77.77837712804065
V1594084,model_1,71.62111300919396
V1162628,model_1,72.42865304580603
V1574091,model_1,67.12896816347441
V1338854,model_5,72.69089262199493
V1585398,model_2,85.05132635119155
V1541222,missing,missing
V1043198,missing,missing
V1577649,model_1,87.85751331444082
V1007414,model_2,90.00279438422228
V1316473,model_1,77.7083663884161
V1173305,model_3,86.08874942535468
V1000054,model_3,87.27581161132036
V1162259,model_5,62.739158566512415
V1263201,model_1,57.247336458076425
V1400781,model_5,69.6209467357032
V1064191,model_3,79.80662554832998
V1325420,model_3,68.61252383857348
V1541225,missing,missing
V1295230,model_2,93.56914602003219
V1046740,model_3,86.6236434944315
V1000893,model_2,90.34460776680403
V1617826,model_5,69.78153460635403
V1150317,model_1,92.93408241609738
V1593029,missing,missing
V1886404,missing,missing
V1150419,model_1,88.12188859723057
V1578456,model_1,89.43323575266095
V1852109,model_5,81.45235502580809
V1007411,model_2,91.393631739664
V1162282,model_5,48.99062279331916
V1267382,model_4,70.6951689529375
V1000052,model_1,89.3547711559296
V1403014,model_1,85.22745641247916
V1116615,model_3,89.5200344137687
V1426024,model_1,83.91595692604639
V1000048,model_1,93.23344222435614
V1582969,model_5,88.17270587112885
V1413750,model_3,94.01117788221035
V1415978,model_4,79.59969503181583
V1593053,missing,missing
V1122563,model_1,80.28839093976235
V1221101,model_3,94.55277061757914
V1201917,model_3,84.28667101077608
V1046760,model_3,86.95734934750861
V1034693,model_4,88.4272710180338
V1258090,model_4,96.11450837900892
V1000038,model_1,90.79126034961575
V1339799,model_1,69.72744837389723
V1162902,model_2,93.05910782112181
V1034712,model_3,91.3031386680825
V1164856,model_1,81.87032720359878
V1617266,model_3,89.11897095026681
V1880084,missing,missing
V1162273,model_1,39.345389657881896
V1139532,model_1,74.99311071108812
V1458256,model_3,91.82411386530038
V1151746,model_1,80.03124780954938
V1503173,missing,missing
V1064530,model_4,81.23146324369249
V1449544,model_3,87.78428847543903
V1291072,model_5,72.6206414222801
V1506253,model_1,88.19528803160539
V1263195,model_1,92.92530382460627
V1580730,model_4,96.75433383428164
V1107920,model_1,87.21773963341083
V1041909,missing,missing
V1035175,model_3,89.81179509637397
V1416363,model_5,91.65202981092193
V1204222,model_1,60.63827883027349
V1143346,model_3,89.20624042189193
V1143350,model_5,67.28176025575557
V1145162,model_3,90.73999714777216
V1469326,model_4,42.93427170847001
V1888250,missing,missing
V1071857,model_3,86.81840331152455
V1008909,model_4,93.0632001370566
V1162243,model_1,80.08802187301974
V1006731,model_3,95.23866695948794
V1311221,model_2,94.96675455863992
V1615721,model_3,86.68248229085191
V1596736,model_3,93.67842535585571
V1000042,model_1,87.80564091246815
V1168113,model_5,78.08338756771423
V1485200,model_2,89.09020737298438
V1553646,missing,missing
V1541201,model_4,52.26723227772004
V1912439,missing,missing
V1483621,missing,missing
V1006737,model_1,69.16069515587817
V1256496,model_3,93.1341363429057
V1035423,model_4,37.587487341396354
V1362803,model_1,90.1417785703711
V1033785,model_3,89.43253790863156
V1507483,model_1,67.85152600506736
V1006814,model_3,91.65117004480062
V1483716,model_3,94.19954655857977
V1576591,model_5,76.39100808664585
V1852012,model_5,93.23252759998716
V1099767,model_3,91.19182066796094
V1439187,model_1,70.83426706477022
V1162266,model_3,82.46662264922102
V1086401,model_5,81.66971430705996
V1420705,model_4,74.2725908513152
V1046742,model_1,78.85514633001979
V1150298,model_1,91.26097972259159
V1000033,model_2,92.95908733610726
V1034598,model_1,93.7119138934114
V1334869,model_1,80.99291928690673
V1469367,model_1,80.06036065635914
V1263200,model_1,87.82222879530461
V1158556,model_3,79.15054571991969
V1046748,model_2,91.22510821427322
V1268368,model_4,44.1845065287194
V1105218,model_2,92.1496981210622
V1507047,model_1,83.53094259579987
V1442319,model_1,57.89354021254246
V1374011,missing,missing
V1006738,model_2,91.23062045041912
V1607555,model_1,66.81189173535977
V1481466,missing,missing
V1329806,model_3,88.11096902163884
V1040032,model_3,80.15044555940995
V1852142,model_5,79.60805825019965
V1301127,model_2,86.0922241528772
V1162242,model_3,92.95660203008848
V1852098,model_2,89.13741635205547
V1310212,model_1,59.45191255417488
V1267346,model_3,81.7235826634799
V1526367,model_1,68.51677929600255
V1566826,missing,missing
V1035617,model_5,64.1136416586871
V1554311,missing,missing
V1481095,model_3,75.62692870950683
V1394544,model_3,80.70187946463624
V1182399,model_1,76.27871444702987
V1164826,missing,missing
V1886936,missing,missing
V1554123,missing,missing
V1485199,model_1,88.0181147032026
V1440651,model_4,87.32465850174593
V1291545,model_4,87.86287134556777
V1150418,model_2,92.39223481447397
V1167848,model_1,79.33518703415328
V1526473,model_3,75.58184607009015
V1596760,model_1,89.81930059628027
V1385735,model_4,81.2395203781945
V1886446,missing,missing
V1310512,model_5,91.85098812284946
V1000049,model_5,77.25148912050746
V1257304,model_3,84.79124402732428
V1554380,missing,missing
V1162283,model_5,68.02569045821416
V1238892,model_4,71.10947411503516
V1256184,model_4,54.632073985471195
V1150301,model_2,82.84711653761451
V1334793,model_1,65.5421872175888
V1237208,model_3,97.76037233695929
V1102534,model_1,82.05866378978553
V1235869,model_3,95.176928842065
V1090045,model_3,88.80618550786569
V1035131,model_3,85.02203011848036
V1836799,model_4,89.33361511166854
V1420616,model_5,96.92910771735868
V1482623,missing,missing
V1445163,model_4,37.080575108523945
V1008910,model_5,92.06928145815739
V1006734,model_3,68.5377420640276
V1008913,model_1,84.50405373975424
V1357057,model_3,78.23217120256245
V1301238,model_1,46.39311657408615
V1577994,missing,missing
V1464505,model_1,63.10227522198298
V1607584,model_1,57.21495610712316
V1067055,model_3,90.66816505158253
V1267296,model_2,82.8605762661533
V1483475,missing,missing
V1342077,model_1,88.3297462014899
V1000085,model_3,92.94489038147648
V1485693,model_1,80.05801971130423
V1481467,missing,missing
V1150291,model_2,92.78194917403363
V1339892,model_4,82.34463222068331
V1168355,model_1,85.95481148946311
V1541202,missing,missing
V1445683,model_3,91.92917810579709
V1416556,model_5,75.24714771179825
V1576856,missing,missing
V1323707,model_1,87.49953905180345
V1238923,model_1,64.40385070748644
V1483540,missing,missing
V1299131,model_3,92.36612622755443
V1401504,model_1,80.62373152368625
V1483410,missing,missing
V1506635,model_1,83.65532881036692
V1576589,model_2,88.52431019530897
V1218351,model_3,60.14757889284595
V1481385,model_4,53.182895333028185
V1425877,model_3,80.94862810059034
V1593038,missing,missing
V1000522,model_5,68.58605491648703
V1386037,model_1,81.41557433326847
V1464303,model_3,92.31694124408992
V1881223,model_2,91.66209865255085
V1420718,model_1,73.96099905548985
V1264083,model_5,71.00957669018979
V1602883,model_1,79.0369173555202
V1334968,model_1,77.8923184837168
V1592994,model_5,70.93750083270965
V1462013,model_4,78.45696552179196
V1482997,model_1,77.76190465699545
V1051521,model_2,89.53716414047891
V1420561,model_3,81.06015232664447
V1836812,model_2,95.0395866081337
V1580715,model_4,76.83362559345004
V1312748,model_2,83.9165844322895
V1836811,model_3,88.84432764988627
V1064201,model_3,90.21583297125456
V1423318,model_1,71.17963023753435
V1553525,missing,missing
V1578133,missing,missing
V1035137,model_1,91.10760777313689
V1236195,model_4,89.97088675110557
V1150306,model_4,76.12620199851025
V1162248,model_2,90.97324370369475
V1887152,missing,missing
V1150293,model_1,92.67098620756587
V1046802,missing,missing
V1400879,model_1,73.05515698505897
V1553875,model_4,51.506691433597
V1152571,model_3,85.27401099994292
V1000582,model_3,47.637116954651184
V1329957,model_1,74.07636432456746
V1006825,model_3,94.23200928485257
V1162263,model_3,92.01564494129478
V1882987,model_4,88.32762301172505
V1875149,model_3,66.19655710801615
V1150297,model_2,92.37835595318279
V1110016,model_4,96.47808033821705
V1211151,model_1,89.15097456588799
V1324640,model_5,72.99136062889518
V1000184,model_2,65.51798523513231
V1036810,model_2,91.77073324413814
V1886982,missing,missing
V1035140,model_1,83.84837995350448
V1035421,model_3,89.99721312472963
V1007410,model_2,92.73641876156755
V1190290,model_1,91.40248711960567
V1323047,model_4,78.44888539818284
V1035474,model_1,60.798859016912594
V1112930,model_5,72.42554767929256
V1046782,model_3,88.40815528950823
V1912437,model_2,93.00403164228706
V1891316,missing,missing
V1547374,model_3,84.73499058638438
V1044323,missing,missing
V1035134,model_3,81.7598302403111
V1162322,model_3,79.77581887196249
V1482720,model_5,83.73431506441119
V1432440,model_1,75.53757881554961
V1886718,missing,missing
V1162241,model_2,80.57282568124788
V1137033,model_5,94.96663463087977
V1105782,model_3,79.41702370462289
V1553528,model_1,67.17367017082107
V1171885,model_4,94.08387036013569
V1158905,model_1,66.36679950952824
V1554464,model_5,80.58332048908541
V1481698,model_3,95.84091946832974
V1574081,model_4,90.66703990145697
V1314836,model_1,78.27310009575382
V1150292,model_5,88.89513340291961
V1310510,model_3,94.15077209683511
V1006735,model_3,79.35016373354392
V1301147,model_3,89.6365731849621
V1875150,model_2,76.5568074952607
V1006714,model_3,95.4394829780519
V1886979,missing,missing
V1500278,model_3,83.296240800238
V1170741,model_3,93.5390396103393
V1483644,model_1,92.85092141613627
V1035221,model_1,62.06666716209201
V1150299,model_2,93.28334300862821
V1176537,model_1,88.7237333420911
V1541223,model_3,89.64488429399229
V1035603,model_3,78.11679062941587
V1575117,model_2,77.91653370014316
V1194967,model_3,94.49594201232352
V1852127,model_3,80.64087179111824
V1048263,model_3,93.28156091327517
V1582970,model_2,67.20325782018286
V1482932,model_1,81.49205807071606
V1852106,model_5,78.49593441996684
V1395306,model_1,56.57905842281422
V1235874,model_1,63.635170561485495
V1420562,missing,missing
V1883662,model_5,78.43801301564051
V1879912,missing,missing
V1437020,model_3,81.61789588811115
V1289760,model_2,93.12748321488776
V1000195,model_3,79.61003394178816
V1619253,model_2,85.32222926938363
V1553719,missing,missing
V1851988,model_3,92.2760133845175
V1299201,model_5,78.33461435901987
V1239723,model_1,84.4210068263038
V1582957,model_4,89.28479325276373
V1491696,model_2,91.79844889340413
V1463665,model_4,86.18730457766625
V1289789,model_3,78.8382562438475
V1006018,model_4,89.44445476352595
V1055877,model_1,89.61074141038844
V1301134,model_3,74.18272888646732
V1103320,model_2,93.58732493536463
V1153046,model_1,45.59641106250517
V1420630,missing,missing
V1483367,missing,missing
V1315450,model_5,73.86187155125518
V1239117,model_4,84.43397869173243
V1036753,model_4,94.39408864153148
V1086338,model_1,86.43085885214396
V1541211,missing,missing
V1198524,model_5,90.18585468534056
V1000210,model_1,72.3194426748936
V1315934,model_3,87.82287395869011
V1887153,missing,missing
V1445209,model_1,66.62623605774917
V1541220,model_5,88.0203193719253
V1439206,model_4,79.76601956097619
