protein,best model,model score
V1069330,model_1,87.79926271819429
V1041290,model_4,78.34057664986447
V1072108,model_1,64.42631368652552
V1240951,model_5,64.63946175644895
V1170207,model_4,81.58319966252007
V1318853,model_4,36.35001404600319
V1198544,model_3,76.9332861385344
V1055537,model_2,90.79726726162086
V1007455,model_1,89.47801282746937
V1087909,model_3,79.22291437391407
V1151014,model_1,83.26697744613553
V1421200,model_1,90.84002579568264
V1294987,model_2,94.20845513901699
V1054369,model_3,67.48533796202143
V1177163,model_2,85.26360911412648
V1400612,model_1,62.83591144714184
V1166903,model_1,46.87134961727351
V1409618,model_3,66.36440430367944
V1102510,model_2,63.80508146038034
V1054999,model_5,76.30928977158278
V1144886,model_1,61.81277148112622
V1098863,model_1,56.40075200858922
V1074768,model_3,88.13806570019975
V1436252,model_3,63.15455184220723
V1315205,model_3,84.15548973862249
V1268261,model_3,73.78913824049116
V1395615,model_1,58.91226701039143
V1100031,model_1,72.30636634916483
V1099613,model_2,91.60003935187102
V1079759,model_1,82.21148854369791
V1329225,model_2,90.21175237455748
V1070889,model_4,77.160858513787
V1241926,model_3,76.29522202615681
V1458373,model_1,62.374188238444866
V1192381,model_1,82.34980070117588
V1032018,model_1,89.66457925266647
V1104430,model_3,65.43880680598842
V1086327,model_4,79.29338433705468
V1198966,model_4,73.11498405270304
V1239766,model_1,85.24864316176738
V1385785,model_3,86.0161215556102
V1040013,model_4,89.86275038297534
V1365663,model_3,92.90441430661274
V1073624,model_3,88.00469381381741
V1314272,model_1,61.678344616350024
V1175370,model_1,89.21830028006993
V1198698,model_1,73.46988183997368
V1137062,model_1,63.06919421283086
V1447023,model_4,73.20160567274135
V1152609,model_1,94.0133988088472
V1445433,model_5,84.87785109233674
V1266001,model_4,49.89480762578767
V1313580,model_3,90.14431446698353
V1036093,model_3,89.31145200903467
V1356479,model_3,86.52467935346672
V1265992,model_3,71.28275339905859
V1051512,model_3,79.06049393881106
V1195975,model_3,89.61244832289474
V1343411,model_1,79.2033183649721
V1043118,model_1,52.84770061165104
V1367145,model_3,83.24575023035564
V1173309,model_1,78.81616512643114
V1041288,model_3,50.164890158643466
V1265925,model_3,79.22927773676393
V1099302,model_3,61.643463690227215
V1232333,missing,missing
V1085143,model_4,83.48219589991055
V1368476,model_4,76.56609470027183
V1431318,model_3,70.79898025074722
V1109433,model_3,60.8946850079768
V1356564,model_1,42.88055596750462
V1295391,model_5,66.73016553134968
V1071036,model_1,73.22549521244784
V1237346,model_3,81.8593343199138
V1151760,model_2,92.2338313584771
V1171605,model_3,87.1385184364031
V1158381,model_5,88.93259054913361
V1313301,model_4,63.92030058212642
V1041032,model_3,92.99459557538185
V1008388,model_4,89.02894237228905
V1404416,model_2,93.37881988603921
V1368063,model_4,86.45399050280848
V1344285,model_1,71.90580995045941
V1242224,model_3,80.7847506603505
V1365741,model_5,74.30032592011855
V1458580,model_3,85.79040713795327
V1099500,model_4,84.48349095017244
V1216062,missing,missing
V1108946,model_2,89.72133497512374
V1073557,model_3,74.77321396282578
V1365721,model_2,91.76538861177941
V1078560,model_3,85.48972571270826
V1357103,model_5,82.75444021575545
V1420692,model_1,76.96129069772896
V1294902,model_1,92.03015939345984
V1144961,model_4,91.50442028456892
V1200033,missing,missing
V1172015,model_2,93.21818404211604
V1036612,model_4,79.30311848073458
V1436525,model_5,94.34251000398305
V1171090,model_2,92.61952117008613
V1334863,model_4,77.45075158250981
V1106553,model_3,94.55598576928672
V1084011,model_1,79.43016032548823
V1356789,model_5,82.36693299374618
V1420950,model_1,71.65898528875223
V1191476,model_1,92.53087945572278
V1140894,model_2,86.36863195769091
V1070431,model_1,72.72562036945615
V1334695,model_3,84.99410756757456
V1195143,model_1,57.25949006647341
V1394684,model_2,79.0421739607349
V1413332,model_1,92.56272811706418
V1115169,model_4,89.57045361889669
V1141487,model_1,84.63797685637259
V1136974,model_2,60.81701329932176
V1191158,model_2,92.45050933257887
V1195310,model_1,61.186231464859034
V1364680,model_5,78.33670757756923
V1356525,model_2,90.13298228404766
V1233076,model_4,75.91170587028026
V1402763,model_5,83.69807981967675
V1195166,model_3,86.9301294902084
V1175256,model_2,80.16963669119431
V1036119,model_1,74.65552330818419
V1183251,model_3,65.19321438715711
V1458276,model_1,79.71788677380611
V1440472,model_3,68.52099367394027
V1244248,model_4,87.12615742350029
V1199650,model_3,91.17109930657975
V1445159,model_1,77.93234025479907
V1175738,model_1,61.86573456042787
V1071177,model_3,88.28264649851224
V1039339,model_5,92.169883395124
V1040189,model_3,87.37144242452489
V1177827,model_1,69.05750798119148
V1291805,model_1,38.722561844151855
V1151187,model_1,81.50766720922603
V1152882,model_1,65.16430047844517
V1180865,model_2,91.64301154411976
V1192119,model_1,80.8562243003075
V1136914,model_4,60.50885307173088
V1334658,model_3,93.16028082381736
V1315618,model_3,83.78547617854177
V1044325,model_5,81.72273609242535
V1115903,model_1,56.54032207602452
V1139289,model_1,94.68714087762449
V1216136,missing,missing
V1070468,model_5,79.54277461906825
V1368361,model_3,87.05513357423247
V1171396,model_2,62.99968600491011
V1082636,model_5,92.3102226287723
V1316622,model_4,65.8752781040745
V1237684,model_3,94.51911305580606
V1099526,model_3,87.3241608536259
V1070127,model_1,59.16236742294081
V1310775,model_2,82.93566127297402
V1013297,model_3,79.81341066660616
V1404757,model_3,54.02732688743244
V1328961,model_3,74.38949016186076
V1170482,model_5,80.08802132854369
V1458592,model_1,53.76081512723181
V1167618,model_1,84.801461907848
V1140647,model_1,94.15083195672099
V1265812,model_1,67.70644937777264
V1239582,model_1,93.76733644311639
V1012021,model_5,84.54617787619449
V1413589,model_1,83.72287753245332
V1079178,model_3,83.58276055702345
V1080018,model_4,87.96919106453024
V1137006,model_3,86.57193992494868
V1295239,model_3,77.64249861398339
V1364023,model_1,81.88784791951981
V1343206,model_3,75.3796503879665
V1364721,model_3,66.78729608454323
V1323195,model_1,82.6436241196575
V1103591,model_3,86.58256866114252
V1089151,model_1,80.6249980168867
V1239675,model_1,64.89244439270983
V1268826,model_3,87.15109283412902
V1036263,model_1,81.48511375165832
V1108549,model_3,94.08826429969429
V1099381,model_3,71.76435883617528
V1069956,model_4,75.9382932849921
V1098992,model_3,64.27281445986783
V1032258,model_1,89.98900006505922
V1114052,model_1,74.10785097724516
V1069026,model_4,88.18952994006094
V1265731,model_5,40.79192722394092
V1172231,model_3,86.01476411948505
V1311646,model_3,87.40070836394972
V1137152,model_4,69.62725603692746
V1072745,model_2,87.58994442217822
V1103522,model_1,72.79442743501555
V1081477,model_3,82.74913837194043
V1191461,model_1,76.21876087474925
V1160383,model_5,58.44006686949973
V1103021,model_4,79.72385336016663
V1175881,model_1,81.22975659949988
V1040598,model_4,77.94032102412294
V1008214,model_1,75.56356890483539
V1175025,model_1,68.0598844986828
V1072402,model_4,90.04690655492871
V1041685,model_5,87.7526578254854
V1328034,model_2,90.25435778361324
V1151416,model_3,85.01696594985032
V1357645,model_4,74.23449156308753
V1069319,model_1,78.63310899489703
V1151181,model_1,50.95168498266529
V1192167,model_1,67.56817460864075
V1401465,model_4,81.70536994704813
V1265848,model_1,87.5223272130213
V1312286,model_3,83.87873448531585
V1201982,missing,missing
V1375145,model_4,42.84730551593588
V1082379,model_5,75.26857978389799
V1040689,model_1,61.69225804988346
V1172104,model_2,86.94646177117576
V1036358,model_3,88.5096278219357
V1167787,model_3,95.36191234132184
V1180811,model_1,74.88363018959411
V1136919,missing,missing
V1163991,model_3,97.324807844646
V1007276,model_1,92.54810240472777
V1054043,model_3,94.01973895778366
V1216279,missing,missing
V1015428,model_3,79.70076548798733
V1402578,model_3,87.91004025355431
V1170219,model_1,77.55860419370399
V1140380,model_4,72.7237079466546
V1088150,model_5,70.8790849799799
V1171311,model_2,85.43505038055535
V1151206,model_1,80.11816833878167
V1356307,model_2,89.39106270233246
V1116060,model_1,69.81167969723487
V1313491,model_1,81.6931061757124
V1051197,model_3,69.36335108773268
V1436499,model_1,93.42135769809539
V1139070,model_3,82.01400838339647
V1191802,model_1,54.90126112558542
V1265946,model_5,64.58200491782013
V1180935,model_1,73.61337340978613
V1000837,model_1,86.3807367798825
V1430827,model_1,71.9328241672304
V1040708,model_3,89.10225887536609
V1011379,model_3,91.73888861467965
V1316769,model_3,86.65796295229005
V1290855,model_1,82.16883186640936
V1099184,model_3,78.7427759782755
V1375106,model_4,67.87094506105565
V1006897,model_1,91.468945641367
V1459035,model_4,85.90862612188229
V1040959,model_1,79.80430379688346
V1430334,model_5,83.61406288563172
V1458504,model_3,88.35126931112625
V1007481,model_3,85.23088185300827
V1151393,model_4,79.82299955668553
V1167315,model_1,77.41375342626324
V1073512,model_3,71.29063153313835
V1009256,model_3,89.5930969824685
V1367592,model_1,67.95034102092406
V1445308,model_1,74.770144709004
V1355475,model_1,63.67241924221802
V1140158,model_4,92.15612857797565
V1150981,model_4,64.21150072421533
V1364246,model_4,93.51188295835867
V1394650,model_1,61.75463294906424
V1265977,model_5,80.69821870296688
V1152149,model_4,80.9645762202297
V1009323,model_1,70.38205902869925
V1099435,model_3,83.95583120783422
V1151007,model_3,48.574689553702584
V1100257,model_3,74.5314986795929
V1268336,model_1,70.79182878578587
V1191168,model_1,63.74901035152007
V1405186,model_1,72.4709246799223
V1315927,model_4,87.72593892324929
V1008208,model_1,94.19818048320278
V1159508,model_5,75.12832266769908
V1170648,model_1,60.23979867140222
V1076269,model_3,75.62646277006736
V1007250,model_4,83.87878466182187
V1413071,model_2,78.91046375084056
V1042705,model_4,41.491134120384324
V1386169,model_4,57.29196534673413
V1039985,model_2,90.15633268779044
V1345774,model_5,66.22555812979698
V1394629,model_3,80.06989347162117
V1041258,model_5,73.27722407160707
V1144953,model_5,70.81554218956119
V1436419,model_3,71.59562066889177
V1313006,model_4,66.85246045625155
V1413282,model_4,72.68388189025578
V1199907,model_1,49.6879498238969
V1145773,model_3,84.4646490623823
V1183061,model_3,80.56933360609021
V1154938,model_4,76.76256535392466
V1175053,model_3,88.6822686439322
V1266006,model_1,80.07221301004002
V1375313,model_4,92.33215290661555
V1316397,model_1,70.41532495161331
V1445427,model_1,86.67989626837726
V1054667,model_5,87.0585356581067
V1200501,missing,missing
V1301512,model_3,77.93753497746297
V1414032,model_1,82.13939472236578
V1069921,model_1,72.81819726230341
V1151462,model_3,84.49473217255095
V1190388,model_5,93.35494953806217
V1195606,model_1,53.367629571806184
V1328591,model_3,65.51089778435335
V1409219,model_1,66.34485498349237
V1015126,model_1,76.98077075288208
V1323127,model_3,89.33637763534364
V1396000,model_1,83.38488691555163
V1370476,model_2,83.47885672130487
V1311278,model_1,71.08831239099806
V1436351,model_1,49.81140296867631
V1067883,model_1,74.5868531039984
V1146465,model_1,71.28200838565341
V1162272,model_1,64.79897028654194
V1216226,missing,missing
V1069573,model_1,75.3005617113487
V1070168,model_4,84.34418701348537
V1344549,model_3,86.58270728016848
V1291531,model_4,59.57171898256408
V1409136,model_1,52.89967848417987
V1356189,model_4,80.30413517295062
V1037868,model_1,82.98842101766036
V1037065,model_1,93.5556857697835
V1210027,missing,missing
V1199913,model_3,90.90346329973744
V1071042,model_3,65.02876457411965
V1013863,model_5,87.63590303722614
V1199880,model_5,70.76779965394725
V1071282,model_1,67.15705445176643
V1294848,model_4,90.71734548933857
V1409285,model_5,95.97616932698216
V1056779,model_1,89.2204307480305
V1086398,model_1,71.63158294875012
V1195441,model_1,58.78834703471349
V1185187,model_3,78.28627589897471
V1056056,model_4,88.38714402085488
V1069333,model_5,71.98304940250196
V1328637,model_5,64.99988179434006
V1041605,model_1,79.71034872016175
V1015195,model_2,86.96135196472525
V1356103,model_1,66.53444534982745
V1347016,model_4,38.4133059252138
V1314663,model_3,71.34890814090063
V1098870,model_1,41.57445030129802
V1313140,model_1,64.19351739977827
V1383916,model_3,75.97258610248105
V1081706,model_3,83.19733116481997
V1075698,model_1,76.57496563337145
V1042007,model_1,75.9150304956882
V1080356,model_1,71.36435624624421
V1012188,model_3,75.96315214680595
V1034194,model_1,63.412984343580696
V1145258,model_2,86.65596263218987
V1375513,model_1,78.82888455460264
V1167209,model_3,87.11098951932291
V1395138,model_1,73.87112711320259
V1216102,missing,missing
V1155077,model_1,56.93953150415212
V1400576,model_3,83.03134780314372
V1070353,model_1,71.17150987629455
V1009740,model_1,81.54531004282337
V1016067,model_1,69.62381922281836
V1191521,model_4,87.95743958060896
V1079380,model_1,91.29719126389087
V1151188,model_2,82.97833003483032
V1007453,model_3,91.43708772178239
V1069874,model_3,63.04336109330279
V1151207,model_1,80.12594527910888
V1195515,model_2,93.41263116097723
V1329323,model_2,83.3570078536424
V1151929,model_3,78.17185002485381
V1440334,model_3,78.50326289828708
V1291910,model_3,93.05394012518998
V1068256,model_1,61.02287166858914
V1346686,model_2,90.80521238956524
V1104766,model_1,84.5239767948485
V1375570,model_3,92.00165922015994
V1008217,model_1,74.2167449767165
V1152279,model_4,85.26850005179386
V1265913,model_5,91.86449760417653
V1191131,model_5,71.13881805741677
V1137113,model_1,92.45034377354399
V1080494,model_2,89.75563438430956
V1010562,model_1,58.90034027784031
V1042356,model_1,78.92327718967968
V1073560,model_4,84.24464275347228
V1099631,model_5,90.538165358248
V1395236,model_5,66.52811624098815
V1152773,model_1,70.86530496734187
V1106390,model_3,60.578095538565236
V1170503,model_1,65.56461141237324
V1013399,model_3,94.7597265615019
V1144883,model_3,87.79082287433954
V1346987,model_2,88.47203872774763
V1402629,model_3,75.7493890491101
V1099019,model_2,70.29709890458544
V1051194,model_1,93.51242082201459
V1199921,missing,missing
V1104569,model_3,87.74948439178992
V1247428,model_4,95.45327137598738
V1042106,model_1,61.58232013328069
V1392077,model_1,85.31528896262623
V1402294,model_3,72.43832937638163
V1167584,model_4,87.60564293294864
V1176011,model_2,65.82793217091603
V1329865,model_4,87.91638529374353
V1081862,model_1,50.518156852624806
V1445429,model_5,73.96581594403393
V1458980,model_5,73.31939492026142
V1192103,model_4,79.42150434164745
V1315197,model_4,70.20756049922804
V1167372,model_1,77.32970308191383
V1152671,model_1,56.337627855754384
V1041922,model_2,69.850377725265
V1414054,model_1,82.20010150706617
V1102998,model_3,88.30752751674063
V1141112,model_3,82.89154437973774
V1458502,model_3,71.8743812911294
V1328086,model_3,84.239660375871
V1413218,model_4,85.79827476190086
V1367562,model_1,64.65953387629655
V1069621,model_1,87.04331455666609
V1294826,model_1,59.76779017770665
V1167326,model_3,86.1477664210428
V1291290,model_3,83.97624014362408
V1115403,model_4,82.01318401300942
V1175346,model_5,75.38024369799342
V1099761,model_1,60.09602673574522
V1182772,model_3,83.03822489189241
V1202047,missing,missing
V1328155,model_2,81.01741812453331
V1421413,model_1,61.995720073441134
V1201815,missing,missing
V1157430,model_1,77.39087320067124
V1374355,model_3,88.40676917642888
V1328580,model_1,65.0288433623905
V1192118,model_3,69.09240818587186
V1181157,model_1,40.85448686112756
V1404047,model_5,80.41745602094875
V1381570,model_3,88.77441320807414
V1347846,model_4,79.95118615253013
V1007255,model_1,91.07444267551259
V1067225,model_3,74.23602517339938
V1421335,model_1,85.55312468759159
V1151012,model_5,90.08401929358423
V1395957,model_3,58.20104347575697
V1008393,model_3,89.88401472412492
V1032098,model_3,81.46229793826218
V1182170,model_1,72.21149115890796
V1036349,model_1,93.04172306633212
V1230430,missing,missing
V1181511,model_2,82.96402317069766
V1098962,model_5,87.06322572330308
V1011227,model_3,88.53127427733607
V1436417,model_5,93.50417200715236
V1057791,model_5,83.91765738509916
V1323744,model_5,75.25898758680815
V1071013,model_4,80.89025145081483
V1195616,model_5,87.87810476890152
V1216127,missing,missing
V1445422,model_2,73.93110877700393
V1195437,model_3,80.2217416608274
V1069517,model_4,82.34676649271316
V1103512,model_3,97.4328308805696
V1075323,model_1,72.04463075229354
V1099294,model_1,50.748090929558245
V1267327,model_3,83.44748795578171
V1442761,model_1,86.14715993305472
V1216287,missing,missing
V1072617,model_1,49.539130458258995
V1175365,model_1,70.25099025287278
V1329852,model_1,49.41862279138003
V1349393,model_1,51.24669505862192
V1099643,model_3,92.26631934241001
V1367336,missing,missing
V1195971,model_2,71.98555765314008
V1313403,model_3,68.79708132571707
V1040897,model_3,92.18651312052641
V1195087,model_3,85.94250113119227
V1070405,model_5,91.26350443136712
V1116309,model_5,57.14224890306018
V1156061,model_3,83.15771369220187
V1341856,model_1,71.64065044012125
V1103721,model_4,85.12118786463202
V1098974,model_5,81.5232204913234
V1069053,model_2,91.19135825911545
V1194988,model_3,88.17094984048447
V1152630,model_2,59.126935261859735
V1040503,model_4,78.7330644971714
V1311834,model_3,64.59885327075922
V1036727,model_3,79.8743085763776
V1368599,model_2,76.87298143714028
V1075276,model_1,69.97209726934021
V1172408,model_3,77.32193832838581
V1381339,model_5,56.3872200109902
V1412833,model_1,85.15014379287278
V1038264,model_5,50.30492115966432
V1167088,model_2,92.34155245755181
V1040269,model_3,88.85208585078087
V1070656,model_1,93.14995801772011
V1191615,model_3,69.64819409937225
V1346578,model_2,87.35525416421879
V1328870,model_1,75.41423724527402
V1043141,model_3,91.48168821445424
V1010563,model_2,84.77798474822218
V1369104,model_3,79.68831860294547
V1199118,model_5,71.88566682327807
V1345104,model_3,73.06855111238144
V1144648,model_5,65.82679184452168
V1154184,model_3,86.85765657921746
V1012944,model_3,84.06872442222713
V1401052,model_1,80.28603843787862
V1195561,model_1,67.22332841588052
V1031958,model_2,93.12353152131928
V1167698,model_1,80.98802530386126
V1334704,model_3,89.44396934753908
V1098859,model_3,73.87810495811863
V1346832,model_4,79.91656168769416
V1151222,model_1,70.07817111274952
V1151182,model_5,94.36574579513163
V1364147,model_4,93.61863909730418
V1098934,model_1,66.16352814063764
V1010843,model_5,73.30184673067996
V1368879,model_4,64.05128190408962
V1385589,model_1,44.708110575245314
V1014628,model_3,91.99404519902063
V1356210,model_3,70.30262561871966
V1394383,model_3,90.14306747020561
V1036155,model_1,66.85804636239921
V1192645,model_2,82.38594750484238
V1069006,model_5,87.29096410859155
V1036518,model_2,76.89518582006602
V1195376,model_1,49.86168628937712
V1080161,model_1,89.29682234291674
V1040097,model_2,80.6948665396846
V1032088,model_4,77.89865156302862
V1037492,model_3,68.67780307753638
V1036958,model_5,82.69557529388571
V1053098,model_1,91.149228590387
V1099170,model_3,92.96049161788308
V1190665,model_1,82.00145665482863
V1072025,model_1,89.01081846368598
V1051534,model_1,82.10920429173915
V1043433,model_1,81.11103054317283
V1009239,model_1,59.01505756261198
V1176171,model_3,80.72991548919778
V1328827,model_1,75.5060848400674
V1199803,model_1,86.61739889032116
V1136988,model_1,58.097378313499455
V1036169,model_1,68.89670624403114
V1359069,model_1,79.6086419140852
V1240434,model_3,88.99606801430005
V1086217,model_1,83.26779691696751
V1054252,model_1,66.3413736135839
V1409271,model_1,60.85845583059133
V1157239,model_1,52.578063360362314
V1195340,model_5,45.67330111131375
V1102781,model_1,54.73634024755335
V1071181,model_3,82.96591916545412
V1137059,model_1,58.20176433287231
V1323290,model_3,94.10862280766531
V1445356,model_3,76.41165426247466
V1099126,model_5,81.14262151302631
V1363917,model_1,65.14967381167727
V1036130,model_1,73.11411683320726
V1376165,model_4,84.81188036039507
V1364467,model_5,79.54581373252853
V1400461,model_3,83.51753802023373
V1369323,model_1,89.12654940670808
V1068708,model_1,65.4216273093949
V1420742,model_3,89.16973758937024
V1099182,model_4,71.28227138471378
V1144971,model_1,53.87890562024004
V1144636,model_4,85.67612087849552
V1137424,model_5,92.7618906317747
V1195052,model_3,85.22646898417104
V1069761,model_3,87.83586931064765
V1409957,model_1,44.51036419220821
V1010632,model_3,85.59211393248901
V1242064,model_3,78.00486241491122
V1239677,model_1,89.12089355203399
V1323291,model_5,85.89890089281664
V1152383,model_3,69.54580745057893
V1358212,model_5,82.52608303325152
V1201579,missing,missing
V1409087,model_3,90.69575091727295
V1408874,model_1,66.28580610469292
V1385966,model_5,88.81991198789927
V1104863,model_1,48.58543482704009
V1170768,model_1,53.51635959574745
V1074933,model_5,83.54754086566497
V1167235,model_5,79.66867075382707
V1413547,model_3,91.46054843687433
V1401492,model_5,87.9178589565968
V1363863,model_3,77.62059059691505
V1190932,model_4,89.27715433541027
V1200572,missing,missing
V1183442,model_5,68.55118273520517
V1386018,model_1,64.6301476715846
V1270421,model_3,82.2365121308958
V1329447,model_1,70.5810655085454
V1344038,model_5,52.22897740278015
V1311276,model_1,84.10325865555275
V1420967,model_5,68.08371261366055
V1180526,model_1,85.91731527294242
V1392124,model_1,77.79734464270621
V1044020,model_1,80.20561945826309
V1074931,model_3,93.04742244245698
V1109974,model_1,81.77585692878135
V1099784,model_1,62.816180510454984
V1445289,model_1,80.09395425467768
V1458764,model_3,74.64856177533846
V1151634,model_4,91.70155335765709
V1413308,model_1,61.699757285708564
V1231540,missing,missing
V1337362,model_3,89.78310207008123
V1386606,model_3,84.32839081741463
V1313338,model_5,75.83239719165628
V1458858,model_3,62.823768336817224
V1140640,model_1,60.69679879029262
V1295003,model_1,84.22273965512466
V1081283,model_1,85.37669733449273
V1042471,model_1,62.3301636154386
V1072042,model_1,92.43741931800429
V1394792,model_1,68.70537069763789
V1268299,model_1,58.22447103473986
V1267388,model_1,71.77461239762731
V1152471,model_4,92.51336718078434
V1151650,model_1,61.96440880399601
V1295447,model_4,74.65007635899477
V1413683,model_1,65.3436693538758
V1313365,model_2,82.30391703040476
V1006101,model_4,68.50607786997446
V1089806,model_2,66.42599852626249
V1447299,model_5,86.83828068179497
V1294939,model_3,90.95068033301928
V1294929,model_1,55.166712056117724
V1166918,model_1,59.737484547968705
V1343710,model_1,77.46688781326236
V1099280,model_3,88.68763313743327
V1199794,model_3,74.72511167006358
V1009325,model_1,52.51027634975531
V1036908,model_4,83.16965798353957
V1395084,model_1,84.1090135575665
V1099246,model_5,89.88071222174243
V1071960,model_3,80.73315589432107
V1436182,model_3,93.95112251108229
V1079713,model_1,68.35583181505322
V1069003,model_5,77.90588444836155
V1266120,model_3,79.13476837891318
V1191089,model_3,82.64393828226171
V1032268,model_1,74.06200205472041
V1083770,model_1,87.56105049223017
V1394113,model_3,87.35684985930892
V1198688,model_3,87.64394498571535
V1141342,model_5,65.59612298185999
V1290733,model_3,80.37360691225696
V1458853,model_5,89.31168236032308
V1076447,model_1,57.14541434999729
V1346570,model_5,65.09143480996275
V1394356,model_3,86.6902648892559
V1071895,model_3,90.28822489517042
V1105900,model_3,84.46668673774192
V1368754,model_3,42.32420310519605
V1369369,model_5,85.87398949013168
V1036521,model_5,89.08341348394484
V1071190,model_1,74.33049657676179
V1068842,model_1,72.62876492893689
V1036272,model_5,82.21572840288084
V1076325,model_5,60.21599190784095
V1105320,model_1,70.54698079333679
V1175805,model_3,74.75545095463445
V1294930,model_2,92.28571843042434
V1315352,model_1,65.37199758733415
V1400770,model_1,71.05547091198414
V1356522,model_5,53.05070192704268
V1266268,model_1,85.32095602909244
V1140467,model_2,90.28108479505958
V1335208,model_1,64.27230988132894
V1105236,model_1,71.25204423434684
V1034173,model_1,64.14739147018709
V1199920,model_1,67.60535924118803
V1069559,model_3,81.6742908429363
V1346116,model_3,83.3188360988324
V1191301,model_1,93.82220079054075
V1099773,model_3,79.61999896768583
V1032915,model_5,92.84067190251842
